Top pages,Clicks,Impressions,CTR,Position
https://www.johndcook.com/blog/standard_deviation/,1518,113646,1.34%,32.82
https://www.johndcook.com/blog/2023/07/09/gram-matrix/,1448,96570,1.5%,8.41
https://www.johndcook.com/blog/2022/10/22/mll-std-105/,1446,116917,1.24%,12.81
https://www.johndcook.com/blog/2024/09/01/miles-to-kilometers/,1423,148623,0.96%,46.88
https://www.johndcook.com/blog/2022/12/27/visually-symmetric-words/,1418,32553,4.36%,6.65
https://www.johndcook.com/blog/2018/01/29/underbrace/,1417,69608,2.04%,10.88
https://www.johndcook.com/blog/2018/10/31/biometric-security-error/,1408,61915,2.27%,10.07
https://www.johndcook.com/blog/2013/05/05/ramanujan-circumference-ellipse/,1395,66512,2.1%,11.62
https://www.johndcook.com/blog/2019/06/18/translating-robert-burns/,1386,70692,1.96%,12.03
https://www.johndcook.com/blog/2021/03/31/coulombs-constant/,1368,685158,0.2%,11.46
https://www.johndcook.com/blog/2022/10/22/orbital-anomalies/,1367,90988,1.5%,9.16
https://www.johndcook.com/blog/2023/02/21/sphere-grid-area/,1361,54856,2.48%,21.12
https://www.johndcook.com/blog/2008/11/10/bounds-on-binomial-coefficients/,1308,45694,2.86%,24.1
https://www.johndcook.com/blog/2023/08/12/fibonacci-lattice/,1281,28060,4.57%,5.96
https://www.johndcook.com/maidenhead_locator.html,1277,16061,7.95%,8.5
https://www.johndcook.com/blog/2021/11/03/raabe-convergence-test/,1259,37486,3.36%,7.4
https://www.johndcook.com/blog/2009/12/21/function-plots-inkscape/,1230,14641,8.4%,14.09
https://www.johndcook.com/blog/2012/10/29/product-of-normal-pdfs/,1220,45628,2.67%,13.68
https://www.johndcook.com/blog/2020/11/10/test-for-divisibility-by-13/,1185,207052,0.57%,29.36
https://www.johndcook.com/blog/2009/08/24/algorithms-convert-color-grayscale/,1166,53668,2.17%,18.37
https://www.johndcook.com/blog/2018/11/15/bfloat16/,1132,63833,1.77%,11.63
https://www.johndcook.com/blog/2013/01/30/rational-approximations-to-e/,1126,50753,2.22%,25.28
https://www.johndcook.com/blog/2022/02/25/morse-code-in-musical-notation/,1099,56113,1.96%,20.21
https://www.johndcook.com/blog/2023/09/22/double-struck-capital-letters/,1098,50659,2.17%,10.12
https://www.johndcook.com/blog/gamma_identities/,1079,45833,2.35%,21.21
https://www.johndcook.com/blog/2018/10/29/typesetting-modal-logic/,1069,59654,1.79%,10.77
https://www.johndcook.com/blog/2018/08/21/a-tale-of-two-elliptic-curves/,1036,46842,2.21%,9.24
https://www.johndcook.com/blog/2023/07/07/minmax-line-three-points/,1015,38415,2.64%,25.44
https://www.johndcook.com/blog/2024/01/29/swift/,1010,19736,5.12%,27.33
https://www.johndcook.com/blog/2018/12/07/simulating-zipcode-sex-birthdate/,1005,10462,9.61%,10.02
https://www.johndcook.com/blog/2019/10/14/queueing-regexp/,988,22353,4.42%,13.19
https://www.johndcook.com/blog/2022/03/29/smoothed-step-function/,984,30875,3.19%,19.86
https://www.johndcook.com/blog/2020/10/11/kronecker-sum/,948,24111,3.93%,20.62
https://www.johndcook.com/blog/2025/02/20/bitter-lesson/,944,72723,1.3%,7.6
https://www.johndcook.com/Picards_theorem.pdf,941,26942,3.49%,13.29
https://www.johndcook.com/blog/math-symbols/,936,565557,0.17%,20.42
https://www.johndcook.com/blog/2022/08/14/yyz/,932,88431,1.05%,9.77
https://www.johndcook.com/blog/2020/08/17/adding-phase-shifted-sine-waves/,927,87516,1.06%,26.2
https://www.johndcook.com/blog/2019/05/25/aes-s-box/,922,54133,1.7%,9
https://www.johndcook.com/blog/2023/09/11/nfl-scores/,916,74017,1.24%,24.73
https://www.johndcook.com/blog/greek_letters/,902,154343,0.58%,31.12
https://www.johndcook.com/blog/2022/11/19/how-to-depress-a-cubic/,900,41744,2.16%,8.77
https://www.johndcook.com/blog/2011/09/27/bayesian-amazon/,899,5464,16.45%,35.23
https://www.johndcook.com/blog/2022/11/10/loxodrome/,892,26648,3.35%,8.99
https://www.johndcook.com/blog/2024/06/26/npi-number/,879,81234,1.08%,24.69
https://www.johndcook.com/blog/modes_of_convergence/,878,88308,0.99%,25.97
https://www.johndcook.com/blog/2020/02/19/dormand-prince/,870,23515,3.7%,6.44
https://www.johndcook.com/blog/2021/02/26/saxophone-ranges/,836,128443,0.65%,11.76
https://www.johndcook.com/blog/2018/11/27/oblate-spheroid/,834,65774,1.27%,12.27
https://www.johndcook.com/blog/2018/05/22/best-approximations-for-pi/,833,132158,0.63%,16.7
https://www.johndcook.com/blog/2010/02/15/top-latex-mistakes/,833,62791,1.33%,14.54
https://www.johndcook.com/blog/2008/08/17/three-ways-to-enter-unicode-characters-in-windows/,824,129425,0.64%,11.96
https://www.johndcook.com/blog/2019/05/11/elliptic-curve-p-384/,819,21382,3.83%,8.87
https://www.johndcook.com/blog/2018/05/06/least-squares/,805,61172,1.32%,14.1
https://www.johndcook.com/blog/2022/02/24/find-log-normal-parameters/,766,46464,1.65%,22.76
https://www.johndcook.com/blog/distribution_chart/,766,41823,1.83%,22.14
https://www.johndcook.com/blog/2012/12/23/napiers-mnemonic/,756,40878,1.85%,7.27
https://www.johndcook.com/blog/2022/06/12/difference-differential/,754,32067,2.35%,20.42
https://www.johndcook.com/blog/2020/07/13/leapfrog-integrator/,752,34154,2.2%,7.94
https://www.johndcook.com/blog/2022/03/23/morse-code-numbers/,735,144213,0.51%,10.17
https://www.johndcook.com/blog/2020/08/22/hebrew-latex/,731,9567,7.64%,12.35
https://www.johndcook.com/blog/2016/07/19/integral-equation-types/,725,105858,0.68%,6.87
https://www.johndcook.com/blog/2010/08/16/how-to-compute-log-factorial/,712,48709,1.46%,31.81
https://www.johndcook.com/blog/2023/10/29/country-and-language-abbreviations/,709,457688,0.15%,8.02
https://www.johndcook.com/blog/2021/03/17/fourier-uncertainty-principle/,708,21736,3.26%,8.67
https://www.johndcook.com/blog/2021/08/18/chessboard-in-excel/,707,14390,4.91%,12.17
https://www.johndcook.com/blog/2019/03/05/base85-encoding/,705,32336,2.18%,9.6
https://www.johndcook.com/blog/2016/02/01/discrete-laplace-transform/,704,12680,5.55%,24.21
https://www.johndcook.com/blog/2023/01/13/third-order-odes/,675,24175,2.79%,9.17
https://www.johndcook.com/CompendiumOfConjugatePriors.pdf,671,37381,1.8%,20.13
https://www.johndcook.com/blog/select_with_replacement/,664,65084,1.02%,25.22
https://www.johndcook.com/blog/2023/12/11/ascii-armor/,654,31665,2.07%,7.91
https://www.johndcook.com/blog/2020/09/12/symplectic-euler/,654,12180,5.37%,16.06
https://www.johndcook.com/blog/2024/12/15/llm-and-regex/,648,12007,5.4%,14.67
https://www.johndcook.com/blog/accented_letters_page/,629,107968,0.58%,30.88
https://www.johndcook.com/blog/2022/11/01/kepler-newton/,625,20719,3.02%,11.57
https://www.johndcook.com/unicode_entity.html,623,14845,4.2%,17.81
https://www.johndcook.com/blog/2025/05/09/english-monarchs/,613,17612,3.48%,8.81
https://www.johndcook.com/blog/conjugate_prior_diagram/,608,45934,1.32%,16
https://www.johndcook.com/blog/2020/01/19/cobweb-plots/,605,36148,1.67%,5.69
https://www.johndcook.com/blog/2021/01/18/gell-mann-amnesia/,603,102544,0.59%,9.92
https://www.johndcook.com/blog/2008/02/28/what-to-make-u-in-integration-by-parts/,600,98454,0.61%,18.83
https://www.johndcook.com/blog/2021/03/20/fourier-series-fft/,598,31595,1.89%,40.8
https://www.johndcook.com/blog/2022/10/14/eccentricity-flatness-aspect/,597,42079,1.42%,20
https://www.johndcook.com/blog/2021/04/09/period-three-implies-chaos/,593,18046,3.29%,9.51
https://www.johndcook.com/blog/2011/05/03/jupiters-magic-square/,587,18354,3.2%,9.32
https://www.johndcook.com/blog/2012/02/15/dot-cross-and-quaternion-products/,586,17519,3.34%,25.65
https://www.johndcook.com/blog/2019/07/16/number-of-feet-in-a-mile/,585,670920,0.09%,13.05
https://www.johndcook.com/blog/2020/12/16/pythagorean-dates/,582,38083,1.53%,8.15
https://www.johndcook.com/blog/2021/03/24/surface-area-ellipsoid/,579,35033,1.65%,19.23
https://www.johndcook.com/blog/2018/09/08/projective-special-linear/,572,60334,0.95%,14.85
https://www.johndcook.com/blog/2016/09/27/one-of-my-favorite-proofs-lagrange-multipliers/,571,17180,3.32%,28.59
https://www.johndcook.com/blog/2025/03/10/colossus-versus-el-capitan/,568,42775,1.33%,7.43
https://www.johndcook.com/emoji.html,566,35472,1.6%,22.17
https://www.johndcook.com/phon_sone.html,564,87624,0.64%,17.25
https://www.johndcook.com/blog/2012/02/06/if-i-were-a-rich-man/,556,46132,1.21%,9.03
https://www.johndcook.com/blog/2021/06/13/gauss-multiplication/,555,16457,3.37%,27.8
https://www.johndcook.com/blog/2019/10/07/curvature-of-an-ellipsoid/,555,5838,9.51%,21.16
https://www.johndcook.com/blog/2019/10/18/golay-code/,553,18752,2.95%,8.23
https://www.johndcook.com/binary_sample_size.html,538,6151,8.75%,15.21
https://www.johndcook.com/TwelvefoldWay.pdf,533,10650,5%,9.13
https://www.johndcook.com/blog/2013/01/10/rifle-shaped-wine-bottle/,532,18612,2.86%,23.78
https://www.johndcook.com/blog/2021/06/19/quaternion-matrix-product/,530,4679,11.33%,16.4
https://www.johndcook.com/blog/2010/03/30/statistical-rule-of-three/,528,29109,1.81%,20.78
https://www.johndcook.com/blog/2022/12/04/complex-triangle/,528,24967,2.11%,19.64
https://www.johndcook.com/inverse_gamma.pdf,525,39737,1.32%,15.37
https://www.johndcook.com/blog/2023/06/18/circle-through-three-points/,518,53159,0.97%,22.01
https://www.johndcook.com/blog/2014/12/17/thou-thee-ye-you/,510,98002,0.52%,17.56
https://www.johndcook.com/blog/2010/02/05/carnival-of-mathematics-62/,506,81824,0.62%,3.13
https://www.johndcook.com/blog/2017/08/16/manipulating-a-random-number-generator/,505,12907,3.91%,18.03
https://www.johndcook.com/blog/2019/11/19/crinkle-crankle-calculus/,504,30507,1.65%,8.81
https://www.johndcook.com/frequency_pitch.html,498,67047,0.74%,21.36
https://www.johndcook.com/blog/2019/03/06/rsa-exponent-3/,493,8654,5.7%,13.26
https://www.johndcook.com/cmu_nouns.txt,484,414512,0.12%,26.28
https://www.johndcook.com/blog/2016/01/29/random-number-generator-seed-mistakes/,484,100138,0.48%,30.21
https://www.johndcook.com/blog/2012/11/08/english-to-spanish-rules-of-thumb/,483,14158,3.41%,24.71
https://www.johndcook.com/blog/2018/04/11/anatomy-of-a-posit-number/,482,41718,1.16%,17.17
https://www.johndcook.com/blog/logic-symbols/,481,93299,0.52%,14.13
https://www.johndcook.com/triangle_interpolator.html,476,18394,2.59%,21.07
https://www.johndcook.com/blog/2022/03/09/normal-order-statistics/,474,15089,3.14%,21.61
https://www.johndcook.com/blog/2016/12/31/sums-of-consecutive-powers/,473,45059,1.05%,31.81
https://www.johndcook.com/blog/2017/06/27/effective-sample-size-for-mcmc/,472,11425,4.13%,11.17
https://www.johndcook.com/blog/2018/03/24/squared-digit-sum/,470,76617,0.61%,30.02
https://www.johndcook.com/blog/2021/04/22/moby-diff/,470,28660,1.64%,21.09
https://www.johndcook.com/blog/2021/03/29/calculating-dogleg-severity/,469,17529,2.68%,8.75
https://www.johndcook.com/blog/2010/12/27/dumb-and-gets-things-done/,467,20919,2.23%,19.92
https://www.johndcook.com/blog/miscellaneous-symbols/,465,25162,1.85%,14.9
https://www.johndcook.com/blog/2018/02/13/squircle-curvature/,464,36894,1.26%,8.98
https://www.johndcook.com/blog/quadratic_congruences/,463,61208,0.76%,25.9
https://www.johndcook.com/blog/2017/12/05/mgf/,462,20481,2.26%,46.41
https://www.johndcook.com/blog/2016/03/06/correlating-two-sine-waves/,462,8743,5.28%,13.39
https://www.johndcook.com/blog/bessel_functions/,460,18456,2.49%,24.8
https://www.johndcook.com/blog/2025/05/07/quaternions-and-rotation-matrices/,458,31662,1.45%,20.61
https://www.johndcook.com/blog/2010/09/21/variations-on-factorial/,456,64356,0.71%,20.58
https://www.johndcook.com/blog/2012/06/13/matrix-condition-number/,447,55639,0.8%,29.04
https://www.johndcook.com/blog/2021/07/19/how-to-format-text-in-twitter/,446,37875,1.18%,18.71
https://www.johndcook.com/blog/2023/08/05/rsa-private-key/,444,21393,2.08%,16.95
https://www.johndcook.com/blog/2016/01/25/mcmc-burn-in/,444,11061,4.01%,8.69
https://www.johndcook.com/blog/2018/09/16/permutation-tensor/,441,53162,0.83%,15.8
https://www.johndcook.com/blog/2018/04/18/equation-to-fit-an-egg/,436,15254,2.86%,10.59
https://www.johndcook.com/blog/2021/05/10/cyclic-permutations-and-trace/,433,39982,1.08%,22.77
https://www.johndcook.com/blog/2020/03/07/mds-codes/,433,19025,2.28%,10.49
https://www.johndcook.com/blog/2020/10/04/why-a-little-knowledge-is-a-dangerous-thing/,426,108314,0.39%,9.04
https://www.johndcook.com/blog/bessel_python/,426,22526,1.89%,9.26
https://www.johndcook.com/blog/2018/06/12/mathematics-of-deep-note/,425,51160,0.83%,10.91
https://www.johndcook.com/blog/top/,425,17357,2.45%,11.35
https://www.johndcook.com/blog/2019/01/17/big-o-tilde-notation/,419,39855,1.05%,20.82
https://www.johndcook.com/blog/2021/11/12/finite-vector-spaces/,418,58910,0.71%,21.33
https://www.johndcook.com/blog/2012/02/12/why-magnetic-field-b/,416,69848,0.6%,11.46
https://www.johndcook.com/blog/2012/09/25/ramanujans-factorial-approximation/,413,20743,1.99%,19.4
https://www.johndcook.com/blog/2022/10/11/unicode-math/,412,13794,2.99%,17.4
https://www.johndcook.com/blog/powershell_perl_regex/,410,59518,0.69%,19.5
https://www.johndcook.com/blog/2009/12/22/historical-british-currency/,410,50712,0.81%,35.04
https://www.johndcook.com/blog/2018/12/12/rsa-exponent/,408,52540,0.78%,13.95
https://www.johndcook.com/blog/2018/12/28/base-32-and-base-64-encoding/,403,28393,1.42%,15.95
https://www.johndcook.com/blog/2011/10/18/typesetting-c-in-latex/,403,7257,5.55%,7.26
https://www.johndcook.com/blog/pullbacks/,402,34675,1.16%,22.53
https://www.johndcook.com/blog/2018/04/10/up-arrow-and-down-arrow-notation/,400,116685,0.34%,12.89
https://www.johndcook.com/blog/2022/11/28/conformal-square-disk/,400,28036,1.43%,13.17
https://www.johndcook.com/blog/2010/06/14/generating-poisson-random-values/,400,7580,5.28%,19.43
https://www.johndcook.com/blog/2012/02/01/jinc-function/,397,21482,1.85%,12.58
https://www.johndcook.com/blog/2024/01/11/replacement-character/,396,172922,0.23%,7.18
https://www.johndcook.com/blog/2016/01/31/joukowsky-transformation/,396,12814,3.09%,12.39
https://www.johndcook.com/blog/2013/04/23/why-j-for-imaginary-unit/,395,178419,0.22%,7.57
https://www.johndcook.com/blog/2025/03/09/unicode-surrogates/,395,15374,2.57%,8.68
https://www.johndcook.com/blog/2021/06/18/inner-product-from-norm/,394,49996,0.79%,33.4
https://www.johndcook.com/t_normal_mixture.pdf,394,6959,5.66%,15.72
https://www.johndcook.com/blog/2024/08/20/osborn-rule/,391,26930,1.45%,17.97
https://www.johndcook.com/blog/2009/05/11/fibonacci-geometric-series/,390,25517,1.53%,21.79
https://www.johndcook.com/blog/2008/11/25/distribution-of-adult-heights/,387,47062,0.82%,6.56
https://www.johndcook.com/blog/2020/02/21/popcount/,387,36108,1.07%,9.08
https://www.johndcook.com/blog/2014/11/12/cyclic-fractions/,381,57517,0.66%,10.85
https://www.johndcook.com/blog/2020/06/29/parabola-catenary/,380,30661,1.24%,11.68
https://www.johndcook.com/blog/2021/04/01/efficient-kepler-equation/,374,16687,2.24%,10.39
https://www.johndcook.com/blog/2020/02/27/numerical-heron/,369,29562,1.25%,23.35
https://www.johndcook.com/blog/2008/07/20/why-heights-are-normally-distributed/,363,26852,1.35%,8.14
https://www.johndcook.com/blog/2021/06/23/hebrew-letters-in-math/,363,21008,1.73%,16.42
https://www.johndcook.com/radix_conversion.html,363,12211,2.97%,20.31
https://www.johndcook.com/multi_index.pdf,363,11187,3.24%,16.84
https://www.johndcook.com/blog/2019/05/05/regex_icd_codes/,361,11086,3.26%,27.95
https://www.johndcook.com/blog/2024/03/27/antenna-length-another-rule-of-72/,360,26738,1.35%,7.88
https://www.johndcook.com/blog/2022/08/23/pythagoras-on-a-sphere/,360,17583,2.05%,37.55
https://www.johndcook.com/blog/2021/11/05/normal-tail-estimate/,360,7915,4.55%,26.48
https://www.johndcook.com/blog/2022/12/26/chebyshev-series-for-sine/,359,3954,9.08%,20.51
https://www.johndcook.com/blog/2019/12/22/van-der-pol/,358,19349,1.85%,11.99
https://www.johndcook.com/blog/2023/01/21/airfoils/,357,22045,1.62%,8.07
https://www.johndcook.com/blog/2017/07/08/the-chaos-game-and-the-sierpinski-triangle/,355,38095,0.93%,13.09
https://www.johndcook.com/hertz_bark.html,354,9836,3.6%,19.08
https://www.johndcook.com/blog/fourier-theorems/,351,143068,0.25%,8.55
https://www.johndcook.com/blog/2025/05/09/frequency-of-papal-names/,351,37619,0.93%,7.51
https://www.johndcook.com/blog/2009/01/09/log-concave-functions/,351,36895,0.95%,17.87
https://www.johndcook.com/blog/2022/11/09/elliptic-coordinates/,348,12439,2.8%,19.39
https://www.johndcook.com/blog/2022/11/02/keplers-equation-python/,347,4026,8.62%,14.36
https://www.johndcook.com/blog/2021/03/24/perimeter-of-an-ellipse/,346,27571,1.25%,15.48
https://www.johndcook.com/blog/2022/12/03/div-grad-curl/,344,21547,1.6%,28.8
https://www.johndcook.com/blog/2021/04/07/beta-given-mean-variance/,343,28201,1.22%,24.92
https://www.johndcook.com/blog/2024/02/25/quadrilateral-area-determinant/,341,18532,1.84%,31.99
https://www.johndcook.com/blog/2018/12/29/flattest-us-states/,338,156461,0.22%,7.84
https://www.johndcook.com/blog/2021/06/05/time-dilation-in-sf-and-gps/,338,57105,0.59%,21.59
https://www.johndcook.com/blog/2023/11/06/earth-movers-distance/,338,31900,1.06%,10.01
https://www.johndcook.com/blog/2014/03/30/amazing-approximation-to-e/,338,9581,3.53%,13.5
https://www.johndcook.com/blog/2014/07/03/pi-and-the-raven/,338,8762,3.86%,41.36
https://www.johndcook.com/blog/2021/04/12/spaceship-operator/,334,3017,11.07%,12.36
https://www.johndcook.com/blog/2012/04/03/a-b-c/,330,21601,1.53%,11.66
https://www.johndcook.com/blog/2019/12/07/grep-negative-numbers/,323,21386,1.51%,10.47
https://www.johndcook.com/blog/2018/07/30/goe-eigenvalues/,323,13981,2.31%,17.65
https://www.johndcook.com/blog/2018/09/23/eulers-theorem/,321,28138,1.14%,29.4
https://www.johndcook.com/blog/2022/10/08/subharmonic/,320,13843,2.31%,14.76
https://www.johndcook.com/blog/2018/11/24/spheroid-distance/,320,12354,2.59%,15.19
https://www.johndcook.com/blog/2019/02/05/normal-approximation-to-laplace-distribution/,319,35430,0.9%,12.31
https://www.johndcook.com/blog/2010/06/17/covariance-and-law-of-cosines/,319,17523,1.82%,39.46
https://www.johndcook.com/blog/2023/05/12/circulant-matrices/,319,14785,2.16%,16.06
https://www.johndcook.com/blog/2019/06/03/liminal-and-subliminal/,318,51376,0.62%,20.57
https://www.johndcook.com/blog/2023/08/09/hypersphere-cap/,316,45994,0.69%,21.86
https://www.johndcook.com/blog/2025/09/10/new-symbols-in-unicode-17/,316,26494,1.19%,9.81
https://www.johndcook.com/blog/2010/02/09/malaria-on-the-prairie/,316,12772,2.47%,7.66
https://www.johndcook.com/blog/2021/07/26/major-memory-keypad/,315,210623,0.15%,6.2
https://www.johndcook.com/blog/2023/12/15/pgp-fingerprint/,315,22612,1.39%,10.16
https://www.johndcook.com/blog/2017/11/18/runge-phenomena/,311,38654,0.8%,8.11
https://www.johndcook.com/blog/2021/12/12/yule-statistics-y-and-q/,311,14813,2.1%,7.57
https://www.johndcook.com/blog/2018/03/14/approximating-gamma-ratios/,311,7693,4.04%,18.68
https://www.johndcook.com/blog/2021/07/13/random-fourier-series/,308,2456,12.54%,9.84
https://www.johndcook.com/blog/2009/10/02/circle-of-fifths-number-theory/,305,13365,2.28%,43.23
https://www.johndcook.com/blog/2021/03/22/mentally-calculating-logs/,303,39497,0.77%,30.39
https://www.johndcook.com/blog/2018/04/03/planets-and-platonic-solids/,303,24804,1.22%,10.97
https://www.johndcook.com/blog/2022/10/26/lamberts-theorem/,303,9198,3.29%,8.09
https://www.johndcook.com/blog/2022/12/15/sphere-of-infuence/,302,42425,0.71%,17.31
https://www.johndcook.com/blog/2022/04/13/hilbert-fourier/,302,25050,1.21%,11.37
https://www.johndcook.com/blog/2024/11/12/sin-cos-phase/,301,22979,1.31%,18.46
https://www.johndcook.com/blog/2023/06/12/stressing-numerical-integration/,301,8114,3.71%,27.62
https://www.johndcook.com/blog/2022/09/01/square-root-mnemonics/,299,5755,5.2%,19.37
https://www.johndcook.com/blog/emacs_windows/,298,34565,0.86%,16.07
https://www.johndcook.com/negative_binomial.pdf,298,20461,1.46%,39.76
https://www.johndcook.com/blog/2019/10/21/box-drawing-unicode/,292,44709,0.65%,10.71
https://www.johndcook.com/blog/2019/05/05/area-volume-menger-sponge/,292,20905,1.4%,9.96
https://www.johndcook.com/blog/2019/11/13/permutation-distance/,292,15685,1.86%,24.68
https://www.johndcook.com/blog/2019/02/12/computing-jacobi-symbols/,292,12899,2.26%,17.54
https://www.johndcook.com/blog/2019/07/04/homomorphic-encryption/,291,6534,4.45%,25.79
https://www.johndcook.com/blog/2019/09/12/vin-check-sum/,290,33013,0.88%,24.57
https://www.johndcook.com/blog/database-of-musical-scales/,290,20905,1.39%,12.06
https://www.johndcook.com/blog/2020/02/08/arenstorf-orbit/,289,2845,10.16%,18.93
https://www.johndcook.com/blog/2020/05/13/integrate-sqrt-sin/,287,41867,0.69%,23.6
https://www.johndcook.com/blog/normal_approx_to_binomial/,286,37773,0.76%,32.04
https://www.johndcook.com/blog/2020/02/24/hamming-codes/,285,44005,0.65%,22.47
https://www.johndcook.com/erf_and_normal_cdf.pdf,285,18427,1.55%,21.47
https://www.johndcook.com/blog/2019/10/18/chinese-character-entropy/,284,22356,1.27%,11.49
https://www.johndcook.com/blog/finite-fields/,283,46492,0.61%,32.42
https://www.johndcook.com/blog/2017/06/20/leading-digits-of-powers-of-2/,280,33102,0.85%,17.63
https://www.johndcook.com/blog/2020/03/24/pecunia-non-olet/,279,62735,0.44%,10.6
https://www.johndcook.com/blog/2019/08/27/heaps-law/,279,15557,1.79%,6.9
https://www.johndcook.com/blog/2022/01/12/swansons-rule/,279,5446,5.12%,12.65
https://www.johndcook.com/blog/2020/02/19/fehlberg/,278,14717,1.89%,11.48
https://www.johndcook.com/blog/2018/11/21/renyi-entropy/,275,21259,1.29%,10.03
https://www.johndcook.com/blog/2023/07/15/boolean-with-ai/,275,10764,2.55%,40.05
https://www.johndcook.com/blog/2024/03/09/catenary-sag-approx/,274,14130,1.94%,12.78
https://www.johndcook.com/blog/2021/03/28/mobius-coefficients/,273,9170,2.98%,15.56
https://www.johndcook.com/blog/2025/03/07/tokens-and-words/,272,27916,0.97%,8.3
https://www.johndcook.com/blog/2021/09/02/spreading-out-points-on-a-sphere/,271,26521,1.02%,15.29
https://www.johndcook.com/blog/2021/08/19/vigenere/,269,28990,0.93%,25.62
https://www.johndcook.com/blog/2010/12/08/typesetting-chemistry-in-latex/,269,15589,1.73%,16.42
https://www.johndcook.com/blog/2021/05/24/latex-and-lawyers/,269,3824,7.03%,8.28
https://www.johndcook.com/blog/2022/04/27/projective-intersect/,267,29931,0.89%,54.29
https://www.johndcook.com/blog/magic_knight/,267,12703,2.1%,15.44
https://www.johndcook.com/blog/2021/07/01/oscillatory-solutions/,266,8178,3.25%,15.72
https://www.johndcook.com/blog/2021/10/31/unicode-superscripts/,265,33116,0.8%,17.09
https://www.johndcook.com/blog/2023/07/02/beta-bounds/,265,7328,3.62%,24.66
https://www.johndcook.com/blog/initial-final-objects/,264,48313,0.55%,15.68
https://www.johndcook.com/blog/2021/11/29/area-of-spherical-triangle/,264,18402,1.43%,27.6
