Country,Clicks,Impressions,CTR,Position
Bhutan,169,3770,4.48%,10.49
Zambia,155,11206,1.38%,14.69
Zimbabwe,154,10195,1.51%,21.04
Syria,151,11663,1.29%,20.27
Macau,140,5982,2.34%,11.09
Cameroon,131,8624,1.52%,12.87
Mozambique,127,4575,2.78%,26.37
Angola,124,6820,1.82%,38.76
Papua New Guinea,120,5050,2.38%,8.5
Montenegro,113,5583,2.02%,21.13
Yemen,109,3914,2.78%,14.71
Paraguay,94,31584,0.3%,46.14
Guyana,93,7723,1.2%,36.23
Barbados,90,21996,0.41%,53.18
Cuba,90,3558,2.53%,10.68
Malawi,88,4782,1.84%,12.41
Guam,82,3385,2.42%,11.57
Senegal,80,9912,0.81%,40.16
Afghanistan,73,2707,2.7%,15.07
Lesotho,71,2354,3.02%,11.66
Nicaragua,63,8217,0.77%,25.65
Kyrgyzstan,61,8847,0.69%,30.29
Laos,60,3655,1.64%,33.94
Maldives,59,5467,1.08%,18.27
Bahamas,57,11373,0.5%,42.42
Kosovo,55,3206,1.72%,13.51
Côte d’Ivoire,54,7248,0.75%,34.12
Sudan,53,1433,3.7%,9.25
Madagascar,50,3595,1.39%,24.31
U.S. Virgin Islands,46,1626,2.83%,10.49
Isle of Man,40,2508,1.59%,22.39
Guernsey,37,1406,2.63%,16.43
Turkmenistan,36,1242,2.9%,13.27
Cayman Islands,35,3141,1.11%,40.08
Belize,33,6190,0.53%,38.61
Bermuda,31,3458,0.9%,38.62
Congo - Kinshasa,31,3296,0.94%,17.49
South Sudan,31,1630,1.9%,8.86
Niger,29,444,6.53%,9.26
Benin,28,2310,1.21%,23.74
Jersey,25,2615,0.96%,21.59
Sierra Leone,24,1955,1.23%,20.32
Aruba,24,1684,1.43%,29.9
Mauritania,24,990,2.42%,22.92
Réunion,23,1986,1.16%,30.44
Cape Verde,23,1258,1.83%,41.09
Suriname,22,2273,0.97%,40.3
St. Lucia,21,3062,0.69%,43.99
Faroe Islands,21,1013,2.07%,12.97
Djibouti,21,537,3.91%,19.74
Togo,20,2227,0.9%,36.62
Gibraltar,20,935,2.14%,23.14
Curaçao,19,1835,1.04%,34.61
Swaziland,19,1540,1.23%,13.59
Liechtenstein,19,903,2.1%,16.41
Burkina Faso,18,2412,0.75%,35.75
Liberia,18,2398,0.75%,8.09
Tajikistan,16,1472,1.09%,27.04
Turks & Caicos Islands,14,1269,1.1%,44.14
Martinique,14,733,1.91%,34.79
Seychelles,13,3326,0.39%,47.8
Monaco,13,509,2.55%,14.27
Timor-Leste,13,322,4.04%,11.53
Gambia,12,1411,0.85%,16.52
Gabon,11,2582,0.43%,38.57
Mali,11,1168,0.94%,36.91
Guinea,11,677,1.62%,15.85
Grenada,10,3173,0.32%,47.12
Andorra,10,1236,0.81%,25.3
French Polynesia,10,500,2%,15.06
Northern Mariana Islands,10,489,2.04%,8.56
Solomon Islands,9,404,2.23%,9.36
St. Vincent & Grenadines,8,2063,0.39%,49.23
Haiti,8,1747,0.46%,22.37
British Virgin Islands,8,1236,0.65%,44.53
Samoa,8,546,1.47%,11.31
Greenland,8,482,1.66%,13.1
St. Kitts & Nevis,7,2521,0.28%,48.28
Congo - Brazzaville,7,1828,0.38%,36.12
Sint Maarten,7,1382,0.51%,43.78
Vanuatu,7,474,1.48%,9.32
Antigua & Barbuda,6,2246,0.27%,40.15
Guadeloupe,6,892,0.67%,41.2
Åland Islands,6,577,1.04%,7.98
Dominica,5,1292,0.39%,44.56
Burundi,5,601,0.83%,24.46
Svalbard & Jan Mayen,5,303,1.65%,5.89
Caribbean Netherlands,5,274,1.82%,22.78
Eritrea,5,105,4.76%,7.7
New Caledonia,4,505,0.79%,23.56
American Samoa,4,413,0.97%,20.51
Equatorial Guinea,4,176,2.27%,26.61
Kiribati,4,161,2.48%,11.35
Cook Islands,4,148,2.7%,10.77
St. Barthélemy,4,61,6.56%,12.43
Western Sahara,3,581,0.52%,40.49
San Marino,3,375,0.8%,23.51
Falkland Islands (Islas Malvinas),3,54,5.56%,6.7
Anguilla,2,614,0.33%,44.29
Micronesia,2,398,0.5%,11.79
French Guiana,2,374,0.53%,37.57
Tonga,2,292,0.68%,14.12
Antarctica,2,134,1.49%,9.66
U.S. Outlying Islands,2,15,13.33%,11.4
St. Martin,1,190,0.53%,34.87
Central African Republic,1,107,0.93%,9.93
St. Helena,1,94,1.06%,27.79
Nauru,1,53,1.89%,17.85
North Korea,1,43,2.33%,7.58
Chad,0,246,0%,15.3
Palau,0,200,0%,10.4
Marshall Islands,0,162,0%,14.01
Guinea-Bissau,0,157,0%,26.57
Mayotte,0,129,0%,32.67
Montserrat,0,122,0%,38.55
Comoros,0,79,0%,10.05
São Tomé & Príncipe,0,72,0%,38.85
Niue,0,38,0%,59.18
Tuvalu,0,35,0%,14
British Indian Ocean Territory,0,31,0%,7.13
Norfolk Island,0,28,0%,5.96
St. Pierre & Miquelon,0,28,0%,22.43
Wallis & Futuna,0,10,0%,4
Christmas Island,0,7,0%,4.29
Tokelau,0,7,0%,42.57
