Date,Clicks,Impressions,CTR,Position
2025-09-22,2864,159325,1.8%,7.53
2025-09-21,1676,126703,1.32%,7.95
2025-09-20,1158,105392,1.1%,7.79
2025-09-19,2274,140916,1.61%,7.84
2025-09-18,2882,158575,1.82%,7.68
2025-09-17,2767,161250,1.72%,7.01
2025-09-16,3088,159256,1.94%,7.13
2025-09-15,2781,154686,1.8%,7.4
2025-09-14,1498,123522,1.21%,8.11
2025-09-13,1160,102227,1.13%,7.07
2025-09-12,1952,136783,1.43%,9.07
2025-09-11,2518,158940,1.58%,10.89
2025-09-10,2748,171033,1.61%,11.54
2025-09-09,2698,180208,1.5%,12.32
2025-09-08,2677,181733,1.47%,12.8
2025-09-07,1518,151180,1%,15.07
2025-09-06,987,124066,0.8%,15.6
2025-09-05,1915,154504,1.24%,15.54
2025-09-04,2379,171717,1.39%,14.81
2025-09-03,2394,169660,1.41%,15.43
2025-09-02,2242,169623,1.32%,15.45
2025-09-01,1755,142757,1.23%,16.62
2025-08-31,1196,117483,1.02%,17.57
2025-08-30,901,107201,0.84%,18.85
2025-08-29,1651,134929,1.22%,16.03
2025-08-28,2357,158507,1.49%,14.84
2025-08-27,2106,153232,1.37%,15.25
2025-08-26,2127,154374,1.38%,15.92
2025-08-25,2073,142750,1.45%,15.93
2025-08-24,1222,123403,0.99%,17.61
2025-08-23,953,112500,0.85%,17.89
2025-08-22,1654,134490,1.23%,15.51
2025-08-21,2088,145744,1.43%,16.09
2025-08-20,2146,152403,1.41%,15.58
2025-08-19,2251,138209,1.63%,14.77
2025-08-18,2199,137290,1.6%,17.1
2025-08-17,1191,118293,1.01%,19.77
2025-08-16,866,106257,0.82%,18.94
2025-08-15,1407,121299,1.16%,16.19
2025-08-14,1900,136545,1.39%,15.22
2025-08-13,2170,138367,1.57%,14.37
2025-08-12,2157,143308,1.51%,13.78
2025-08-11,2036,133328,1.53%,14.93
2025-08-10,1092,118410,0.92%,16.43
2025-08-09,815,107563,0.76%,18
2025-08-08,1501,120279,1.25%,16.2
2025-08-07,2068,142125,1.46%,15.64
2025-08-06,2230,140833,1.58%,14.97
2025-08-05,2283,135327,1.69%,15.48
2025-08-04,2026,143888,1.41%,16.27
2025-08-03,1233,124736,0.99%,18.05
2025-08-02,867,105295,0.82%,17.23
2025-08-01,1647,123508,1.33%,15.29
2025-07-31,2131,134983,1.58%,14.39
2025-07-30,2285,138047,1.66%,15
2025-07-29,2318,135716,1.71%,14.74
2025-07-28,2201,143414,1.53%,16.18
2025-07-27,1167,128056,0.91%,20.23
2025-07-26,972,118381,0.82%,20.22
2025-07-25,1752,126146,1.39%,16.58
2025-07-24,2356,141726,1.66%,15.24
2025-07-23,2281,137292,1.66%,15.33
2025-07-22,2358,146239,1.61%,15.57
2025-07-21,2435,147804,1.65%,16.29
2025-07-20,1274,112279,1.13%,18.07
2025-07-19,954,103616,0.92%,18.38
2025-07-18,1791,131916,1.36%,15.57
2025-07-17,2375,182071,1.3%,13.78
2025-07-16,2453,159505,1.54%,15.16
2025-07-15,2442,146352,1.67%,15.7
2025-07-14,2420,154173,1.57%,15.37
2025-07-13,1320,137971,0.96%,14.18
2025-07-12,959,113192,0.85%,17.7
2025-07-11,1778,136022,1.31%,16.68
2025-07-10,2290,141321,1.62%,14.67
2025-07-09,2500,135215,1.85%,15.58
2025-07-08,2377,130639,1.82%,16.52
2025-07-07,2043,111780,1.83%,18.06
2025-07-06,1048,82644,1.27%,18.58
2025-07-05,755,77342,0.98%,19.89
2025-07-04,1119,93917,1.19%,19.17
2025-07-03,1826,101857,1.79%,18.11
2025-07-02,1898,105908,1.79%,18.94
2025-07-01,1912,103175,1.85%,17.29
2025-06-30,1818,99898,1.82%,18.48
2025-06-29,1089,86839,1.25%,21.33
2025-06-28,815,75482,1.08%,19.56
2025-06-27,1439,95009,1.51%,19.76
2025-06-26,1934,108479,1.78%,17.44
2025-06-25,2183,105174,2.08%,17.24
2025-06-24,2202,103895,2.12%,16.62
2025-06-23,2066,100332,2.06%,17.88
2025-06-22,1120,80406,1.39%,20.7
2025-06-21,809,72843,1.11%,20.85
2025-06-20,1577,89283,1.77%,19.91
2025-06-19,2001,97417,2.05%,17.55
2025-06-18,2296,98952,2.32%,16.47
2025-06-17,2126,92244,2.3%,15.88
2025-06-16,2011,88989,2.26%,16.95
2025-06-15,1077,73718,1.46%,19.48
2025-06-14,787,64922,1.21%,20.14
2025-06-13,1636,76810,2.13%,17.67
2025-06-12,1972,84413,2.34%,16.41
2025-06-11,2155,91693,2.35%,16.29
2025-06-10,2240,91075,2.46%,16
2025-06-09,1973,88203,2.24%,16.37
2025-06-08,1137,76046,1.5%,20.56
2025-06-07,848,72463,1.17%,22.02
2025-06-06,1564,85241,1.83%,19.1
2025-06-05,1935,88791,2.18%,16.3
2025-06-04,2259,93068,2.43%,16.68
2025-06-03,2352,93315,2.52%,17.5
2025-06-02,2118,94331,2.25%,19.95
2025-06-01,1280,80703,1.59%,25.56
2025-05-31,905,69199,1.31%,24.2
2025-05-30,1586,85115,1.86%,20
2025-05-29,2075,102417,2.03%,18.01
2025-05-28,2312,93045,2.48%,18.9
2025-05-27,2354,875711,0.27%,59.72
2025-05-26,2039,963108,0.21%,64.97
2025-05-25,1321,182986,0.72%,50.18
2025-05-24,1023,76199,1.34%,23.55
2025-05-23,1713,88834,1.93%,21.01
2025-05-22,2302,100391,2.29%,19.13
2025-05-21,2431,110303,2.2%,18.93
2025-05-20,2428,99586,2.44%,15.96
2025-05-19,2419,102037,2.37%,16.6
2025-05-18,1485,75989,1.95%,20.59
2025-05-17,1109,68340,1.62%,20.53
2025-05-16,1919,84496,2.27%,17.57
2025-05-15,2470,95780,2.58%,15.12
2025-05-14,2734,102090,2.68%,15.49
2025-05-13,2569,100306,2.56%,15.8
2025-05-12,2549,97388,2.62%,15.91
2025-05-11,1437,75272,1.91%,20.32
2025-05-10,1094,61682,1.77%,19.26
2025-05-09,1963,80638,2.43%,16.19
2025-05-08,2571,95640,2.69%,16.14
2025-05-07,2590,102355,2.53%,13.77
2025-05-06,2821,100435,2.81%,13.72
2025-05-05,2748,98548,2.79%,13.72
2025-05-04,1538,75916,2.03%,17.85
2025-05-03,1191,63468,1.88%,16.94
2025-05-02,2000,79228,2.52%,14.45
2025-05-01,2208,89262,2.47%,14.14
2025-04-30,2498,96982,2.58%,12.72
2025-04-29,2866,247197,1.16%,46.91
2025-04-28,2888,456821,0.63%,60.16
2025-04-27,1758,294866,0.6%,59.21
2025-04-26,1263,120044,1.05%,44.86
2025-04-25,2189,337385,0.65%,61.04
2025-04-24,2671,500460,0.53%,63.24
2025-04-23,3048,145133,2.1%,34.83
2025-04-22,2985,122671,2.43%,27.27
2025-04-21,2603,94633,2.75%,18.63
2025-04-20,1500,68951,2.18%,20.9
2025-04-19,1184,55023,2.15%,19.1
2025-04-18,1823,70762,2.58%,18
2025-04-17,2511,75961,3.31%,13.14
2025-04-16,2950,93236,3.16%,12.03
2025-04-15,3082,89280,3.45%,12.08
2025-04-14,2963,91298,3.25%,12.64
2025-04-13,1755,64569,2.72%,16.21
2025-04-12,1255,58604,2.14%,16.35
2025-04-11,2295,74469,3.08%,13.2
2025-04-10,2954,90040,3.28%,12.19
2025-04-09,3137,93478,3.36%,11.53
2025-04-08,2963,97214,3.05%,12.55
2025-04-07,3116,93609,3.33%,12.89
2025-04-06,1733,69309,2.5%,16.2
2025-04-05,1280,54549,2.35%,16.04
2025-04-04,2243,75035,2.99%,14.58
2025-04-03,2856,84545,3.38%,12.32
2025-04-02,3084,87665,3.52%,13.35
2025-04-01,3132,93552,3.35%,14.57
2025-03-31,2892,82459,3.51%,14.37
2025-03-30,1564,61847,2.53%,16.9
2025-03-29,1182,53530,2.21%,17.52
2025-03-28,2212,81534,2.71%,13.6
2025-03-27,2879,100341,2.87%,11.65
2025-03-26,3143,107693,2.92%,11.37
2025-03-25,3200,110781,2.89%,11.84
2025-03-24,3175,108081,2.94%,13.21
2025-03-23,1760,69365,2.54%,16.35
2025-03-22,1262,59662,2.12%,18.12
2025-03-21,2289,92488,2.47%,14.18
2025-03-20,2905,106142,2.74%,11.64
2025-03-19,2866,101644,2.82%,12.86
2025-03-18,3161,86713,3.65%,10.64
2025-03-17,3020,88796,3.4%,11.72
2025-03-16,1722,63935,2.69%,14.03
2025-03-15,1217,54086,2.25%,15.65
2025-03-14,2141,78312,2.73%,14.49
2025-03-13,2859,80816,3.54%,12.75
2025-03-12,2905,84112,3.45%,11.99
2025-03-11,3037,84759,3.58%,12
2025-03-10,3007,83884,3.58%,11.79
2025-03-09,1617,58939,2.74%,16.27
2025-03-08,1235,50860,2.43%,16.45
2025-03-07,2265,74892,3.02%,13.51
2025-03-06,2986,86668,3.45%,12.6
2025-03-05,3242,84552,3.83%,12.87
2025-03-04,2965,86199,3.44%,13.31
2025-03-03,3016,83657,3.61%,12.72
2025-03-02,1770,63017,2.81%,16.7
2025-03-01,1104,52882,2.09%,21.12
2025-02-28,2118,68935,3.07%,15.73
2025-02-27,2921,86996,3.36%,15.05
2025-02-26,3032,88823,3.41%,14.8
2025-02-25,2970,85552,3.47%,12.63
2025-02-24,2896,86660,3.34%,13.62
2025-02-23,1791,65533,2.73%,18.12
2025-02-22,1285,51893,2.48%,17.74
2025-02-21,2082,73443,2.83%,17.67
2025-02-20,2717,79972,3.4%,16.64
2025-02-19,2930,84894,3.45%,12.68
2025-02-18,3004,86146,3.49%,12.13
2025-02-17,2713,76686,3.54%,12.93
2025-02-16,1810,61734,2.93%,17.12
2025-02-15,1232,53584,2.3%,17.79
2025-02-14,2016,67169,3%,14.83
2025-02-13,2758,80775,3.41%,12.78
2025-02-12,3019,85606,3.53%,11.86
2025-02-11,2895,85597,3.38%,11.49
2025-02-10,2902,84174,3.45%,11.52
2025-02-09,1804,64492,2.8%,14.61
2025-02-08,1253,52932,2.37%,15.97
2025-02-07,2268,73660,3.08%,13.44
2025-02-06,2833,84720,3.34%,12.68
2025-02-05,2917,88373,3.3%,12.81
2025-02-04,2833,84463,3.35%,12.92
2025-02-03,2756,82432,3.34%,13.06
2025-02-02,1557,58990,2.64%,16.6
2025-02-01,1124,48577,2.31%,17.78
2025-01-31,2049,68000,3.01%,14.02
2025-01-30,2720,82590,3.29%,11.77
2025-01-29,2773,85017,3.26%,12
2025-01-28,2577,80208,3.21%,11.82
2025-01-27,2694,79829,3.37%,11.65
2025-01-26,1589,60936,2.61%,15.47
2025-01-25,1197,51269,2.33%,15.77
2025-01-24,2018,74348,2.71%,13.54
2025-01-23,2619,92568,2.83%,13.4
2025-01-22,2567,86239,2.98%,12.64
2025-01-21,2745,87354,3.14%,12.13
2025-01-20,2337,75577,3.09%,14.14
2025-01-19,1482,64313,2.3%,17.97
2025-01-18,1133,51257,2.21%,17.76
2025-01-17,2054,67208,3.06%,12.53
2025-01-16,2535,80326,3.16%,10.51
2025-01-15,2656,85439,3.11%,10.97
2025-01-14,2596,82176,3.16%,12.31
2025-01-13,2540,77943,3.26%,12.25
2025-01-12,1489,59692,2.49%,16.92
2025-01-11,1220,51196,2.38%,17.76
2025-01-10,1794,67961,2.64%,14.87
2025-01-09,2106,76401,2.76%,13.92
2025-01-08,2217,79015,2.81%,15.71
2025-01-07,2228,76095,2.93%,16.09
2025-01-06,1952,70208,2.78%,18.71
2025-01-05,1180,58667,2.01%,18.41
2025-01-04,1004,50446,1.99%,21.33
2025-01-03,1407,58180,2.42%,20.75
2025-01-02,1602,59414,2.7%,20.13
2025-01-01,1013,45891,2.21%,21.87
2024-12-31,943,42836,2.2%,20.51
2024-12-30,1260,49259,2.56%,19.46
2024-12-29,973,44621,2.18%,19.98
2024-12-28,851,48347,1.76%,20.16
2024-12-27,1017,47387,2.15%,20.62
2024-12-26,1164,46174,2.52%,19.25
2024-12-25,902,43683,2.06%,20.28
2024-12-24,978,43871,2.23%,21.39
2024-12-23,1445,50869,2.84%,20.56
2024-12-22,995,50625,1.97%,24.7
2024-12-21,820,46200,1.77%,25.89
2024-12-20,1335,57373,2.33%,22.59
2024-12-19,1979,65373,3.03%,17.52
2024-12-18,2199,71581,3.07%,17.08
2024-12-17,2382,76310,3.12%,16.64
2024-12-16,2399,76621,3.13%,16.96
2024-12-15,1572,55561,2.83%,17.91
2024-12-14,1132,48322,2.34%,20.15
2024-12-13,1918,66938,2.87%,17.58
2024-12-12,2492,77665,3.21%,15.84
2024-12-11,2693,84577,3.18%,16.31
2024-12-10,2958,87936,3.36%,15.42
2024-12-09,3090,82741,3.73%,15.32
2024-12-08,1950,61760,3.16%,19.79
2024-12-07,1435,51072,2.81%,21.32
2024-12-06,2194,69085,3.18%,17.86
2024-12-05,3038,83663,3.63%,18.33
2024-12-04,3275,87788,3.73%,18.75
2024-12-03,3180,83874,3.79%,15.79
2024-12-02,3085,77963,3.96%,15.33
2024-12-01,1844,59518,3.1%,21.14
2024-11-30,1391,49303,2.82%,21.65
2024-11-29,1729,56581,3.06%,19.64
2024-11-28,2252,61852,3.64%,18.23
2024-11-27,2582,70579,3.66%,17.19
2024-11-26,3015,77382,3.9%,17.02
2024-11-25,3139,82891,3.79%,19.3
2024-11-24,1908,63777,2.99%,22.46
2024-11-23,1332,51237,2.6%,22.51
2024-11-22,2392,71087,3.36%,19.93
2024-11-21,3109,80656,3.85%,20.8
2024-11-20,3366,70741,4.76%,21.44
2024-11-19,3380,69087,4.89%,19.13
2024-11-18,3370,67199,5.01%,18.89
2024-11-17,2053,54944,3.74%,25.08
2024-11-16,1436,42999,3.34%,25.46
2024-11-15,2416,55665,4.34%,21.69
2024-11-14,3124,65513,4.77%,20.03
2024-11-13,3295,68807,4.79%,19
2024-11-12,3392,69033,4.91%,19.18
2024-11-11,3205,61790,5.19%,19.32
2024-11-10,2034,53981,3.77%,25.2
2024-11-09,1399,47368,2.95%,26.33
2024-11-08,2408,58881,4.09%,21.03
2024-11-07,3118,64644,4.82%,20.4
2024-11-06,3255,79797,4.08%,17.4
2024-11-05,3303,81562,4.05%,16.71
2024-11-04,3392,83432,4.07%,16.13
2024-11-03,2163,66019,3.28%,21.67
2024-11-02,1507,52580,2.87%,22.55
2024-11-01,2197,65889,3.33%,19.83
2024-10-31,2771,70015,3.96%,15.82
2024-10-30,3015,67852,4.44%,16.85
2024-10-29,3356,80147,4.19%,15.42
2024-10-28,3347,81361,4.11%,15.34
2024-10-27,2068,62863,3.29%,20.72
2024-10-26,1510,55673,2.71%,23.35
2024-10-25,2499,71994,3.47%,18.09
2024-10-24,3337,86745,3.85%,16.21
2024-10-23,3559,94183,3.78%,17.13
2024-10-22,3484,100364,3.47%,16.73
2024-10-21,3480,109215,3.19%,15.09
2024-10-20,2069,66678,3.1%,20.52
2024-10-19,1497,54433,2.75%,21.41
2024-10-18,2536,72643,3.49%,17.45
2024-10-17,3326,88041,3.78%,16.07
2024-10-16,3647,93009,3.92%,16.98
2024-10-15,3481,91993,3.78%,16.12
2024-10-14,3198,84400,3.79%,15.66
2024-10-13,1975,65254,3.03%,20.39
2024-10-12,1371,57439,2.39%,23.6
2024-10-11,2278,73793,3.09%,17.32
2024-10-10,3262,90297,3.61%,15.25
2024-10-09,3555,99186,3.58%,14.79
2024-10-08,3605,96973,3.72%,14.22
2024-10-07,3412,97437,3.5%,15.11
2024-10-06,1938,70187,2.76%,18.45
2024-10-05,1486,54427,2.73%,20.36
2024-10-04,2375,76716,3.1%,17.7
2024-10-03,3159,93747,3.37%,15.94
2024-10-02,3135,94803,3.31%,15.37
2024-10-01,3238,96983,3.34%,15.02
2024-09-30,3157,97279,3.25%,14.8
2024-09-29,1941,70863,2.74%,18.03
2024-09-28,1298,58902,2.2%,20.29
2024-09-27,2466,78461,3.14%,16.23
2024-09-26,3303,96578,3.42%,14.57
2024-09-25,3340,98347,3.4%,14.76
2024-09-24,3303,98588,3.35%,14.76
2024-09-23,3216,98203,3.27%,15.16
2024-09-22,1840,72468,2.54%,19.42
2024-09-21,1400,59140,2.37%,20.28
2024-09-20,2430,85200,2.85%,16.37
2024-09-19,3364,100931,3.33%,13.96
2024-09-18,3529,110402,3.2%,14
2024-09-17,3358,101928,3.29%,13.82
2024-09-16,3023,97899,3.09%,15.16
2024-09-15,1921,76115,2.52%,19.02
2024-09-14,1544,65339,2.36%,18.63
2024-09-13,2314,78870,2.93%,16.06
2024-09-12,3116,96209,3.24%,14.38
2024-09-11,3095,91628,3.38%,16.44
2024-09-10,3222,101884,3.16%,14.55
2024-09-09,3244,100158,3.24%,14.55
2024-09-08,1789,72304,2.47%,18.99
2024-09-07,1249,55492,2.25%,18.33
2024-09-06,2274,80267,2.83%,15.63
2024-09-05,2809,95603,2.94%,14.43
2024-09-04,2977,94348,3.16%,14.49
2024-09-03,2969,95024,3.12%,14.99
2024-09-02,2204,74647,2.95%,15.76
2024-09-01,1419,59520,2.38%,17.62
2024-08-31,1140,51578,2.21%,18.82
2024-08-30,1944,67857,2.86%,15.26
2024-08-29,2526,79649,3.17%,14.03
2024-08-28,2665,81549,3.27%,13.74
2024-08-27,2643,79723,3.32%,13.33
2024-08-26,2394,75224,3.18%,14.29
2024-08-25,1362,55397,2.46%,18.61
2024-08-24,977,49246,1.98%,20.8
2024-08-23,1804,56225,3.21%,19.62
2024-08-22,2335,65192,3.58%,18.6
2024-08-21,2390,67500,3.54%,18.93
2024-08-20,2366,65097,3.63%,17.8
2024-08-19,2245,62537,3.59%,18.36
2024-08-18,1331,52826,2.52%,23.88
2024-08-17,974,43924,2.22%,23.83
2024-08-16,1721,54071,3.18%,20.76
2024-08-15,1991,61985,3.21%,19.69
2024-08-14,2208,59788,3.69%,19.12
2024-08-13,2357,61717,3.82%,17.76
2024-08-12,2345,60699,3.86%,18.33
2024-08-11,1284,47839,2.68%,21.87
2024-08-10,1004,44055,2.28%,21.95
2024-08-09,1751,55144,3.18%,22.25
2024-08-08,2293,61574,3.72%,19.57
2024-08-07,2325,62755,3.7%,19.58
2024-08-06,2331,66634,3.5%,21.34
2024-08-05,2105,66342,3.17%,21.15
2024-08-04,1246,55467,2.25%,24.34
2024-08-03,1052,47900,2.2%,23.06
2024-08-02,1822,65445,2.78%,18.26
2024-08-01,2361,64177,3.68%,18.29
2024-07-31,2390,61812,3.87%,19.01
2024-07-30,2455,63091,3.89%,17.86
2024-07-29,2378,63516,3.74%,18.44
2024-07-28,1333,49447,2.7%,21.24
2024-07-27,1018,45901,2.22%,22.12
