day,type,fact,source_link
111,on-this-day,"On Jan 23: “Probability distributions and object oriented programming” (947 words, 2009).",https://www.johndcook.com/blog/2009/01/23/probability-distributions-and-object-oriented-programming/
112,on-this-day,"On Jan 24: “Dual axioms in modal logic” (660 words, 2022).",https://www.johndcook.com/blog/2022/01/24/dual-axioms-in-modal-logic/
113,on-this-day,"On Jan 25: “Permutations at the command line” (824 words, 2022).",https://www.johndcook.com/blog/2022/01/25/permutations-and-tr/
114,on-this-day,"On Jan 26: “A general theory of sub-things” (813 words, 2022).",https://www.johndcook.com/blog/2022/01/26/a-general-theory-of-sub-things/
115,on-this-day,"On Jan 27: “Next areas of math to be applied” (694 words, 2016).",https://www.johndcook.com/blog/2016/01/27/next-areas-of-math-to-be-applied/
116,on-this-day,"On Jan 28: “Mental math trick and deeper issues” (532 words, 2022).",https://www.johndcook.com/blog/2022/01/28/kilometers-to-miles/
117,on-this-day,"On Jan 29: “Regex to match SWIFT-BIC codes” (717 words, 2024).",https://www.johndcook.com/blog/2024/01/29/swift/
118,on-this-day,"On Jan 30: “Python triple quote strings and regular expressions” (867 words, 2021).",https://www.johndcook.com/blog/2021/01/30/python-triple-quote-regex/
119,on-this-day,"On Jan 31: “Parameters and percentiles” (559 words, 2010).",https://www.johndcook.com/blog/2010/01/31/parameters-from-percentiles/
120,on-this-day,"On Feb 01: “Non-associative multiplication” (1028 words, 2022).",https://www.johndcook.com/blog/2022/02/01/non-associative/
121,on-this-day,"On Feb 02: “Stiff differential equations” (1066 words, 2020).",https://www.johndcook.com/blog/2020/02/02/stiff-differential-equations/
122,on-this-day,"On Feb 03: “Fibonacci numbers and hyperbolic sine” (1114 words, 2021).",https://www.johndcook.com/blog/2021/02/03/askey-fibonacci/
123,on-this-day,"On Feb 04: “A closer look at zero spacing” (930 words, 2022).",https://www.johndcook.com/blog/2022/02/04/zero-spacing/
124,on-this-day,"On Feb 05: “Data-driven charity” (1132 words, 2017).",https://www.johndcook.com/blog/2017/02/05/data-driven-charity/
125,on-this-day,"On Feb 06: “Is Low Precision Arithmetic Safe?” (897 words, 2024).",https://www.johndcook.com/blog/2024/02/06/is-low-precision-arithmetic-safe/
126,on-this-day,"On Feb 07: “Self-orthogonal vectors and coding” (641 words, 2022).",https://www.johndcook.com/blog/2022/02/07/self-orthogonal-vectors-and-coding/
127,on-this-day,"On Feb 08: “Why Food for the Hungry runs Ubuntu” (868 words, 2011).",https://www.johndcook.com/blog/2011/02/08/why-food-for-the-hungry-runs-ubuntu/
128,on-this-day,"On Feb 09: “Running Python and R inside Emacs” (474 words, 2012).",https://www.johndcook.com/blog/2012/02/09/python-org-mode/
129,on-this-day,"On Feb 10: “Maximum principle and approximating boundary value problems” (796 words, 2016).",https://www.johndcook.com/blog/2016/02/10/maximum-principle-and-approximating-boundary-value-problems/
130,on-this-day,"On Feb 11: “Trig functions across programming languages” (1203 words, 2021).",https://www.johndcook.com/blog/2021/02/11/trig-across-languages/
131,on-this-day,"On Feb 12: “A Bayesian approach to pricing” (834 words, 2022).",https://www.johndcook.com/blog/2022/02/12/bayesian-pricing/
132,on-this-day,"On Feb 13: “Runge-Kutta methods and Butcher tableau” (1010 words, 2020).",https://www.johndcook.com/blog/2020/02/13/runge-kutta-methods/
133,on-this-day,"On Feb 14: “Entropy extractor used in μRNG” (572 words, 2019).",https://www.johndcook.com/blog/2019/02/14/entropy-extractor/
134,on-this-day,"On Feb 15: “Lobatto integration” (1045 words, 2020).",https://www.johndcook.com/blog/2020/02/15/gauss-lobatto-quadrature/
135,on-this-day,"On Feb 16: “Bell polynomials: partial, ordinary, and exponential” (717 words, 2018).",https://www.johndcook.com/blog/2018/02/16/bell-polynomials/
136,on-this-day,"On Feb 17: “Analyzing an FM signal” (702 words, 2016).",https://www.johndcook.com/blog/2016/02/17/analyzing-an-fm-signal/
137,on-this-day,"On Feb 18: “Trapezoid rule and Romberg integration” (1225 words, 2020).",https://www.johndcook.com/blog/2020/02/18/trapezoid-romberg/
138,on-this-day,"On Feb 19: “Addition on Curve1174” (1054 words, 2019).",https://www.johndcook.com/blog/2019/02/19/addition-on-curve1174/
139,on-this-day,"On Feb 20: “Microsoft replacing SHA-1” (733 words, 2019).",https://www.johndcook.com/blog/2019/02/20/microsoft-replacing-sha-1/
140,on-this-day,"On Feb 21: “What is an elliptic curve?” (788 words, 2019).",https://www.johndcook.com/blog/2019/02/21/what-is-an-elliptic-curve/
141,on-this-day,"On Feb 22: “ADFGVX cipher and Morse code separation” (1087 words, 2020).",https://www.johndcook.com/blog/2020/02/22/adfgvx/
142,on-this-day,"On Feb 23: “Graphs and square roots modulo a prime” (747 words, 2016).",https://www.johndcook.com/blog/2016/02/23/graphs-and-square-roots-modulo-a-prime/
143,on-this-day,"On Feb 24: “Writing down an unwritten language” (1601 words, 2014).",https://www.johndcook.com/blog/2014/02/24/creating-a-writing-system/
144,on-this-day,"On Feb 25: “Testing for primes less than a quintillion” (770 words, 2019).",https://www.johndcook.com/blog/2019/02/25/prime-test/
145,on-this-day,"On Feb 26: “Applications of (1−z)/(1+z)” (736 words, 2021).",https://www.johndcook.com/blog/2021/02/26/smith-transform/
146,on-this-day,"On Feb 27: “Playfair cipher” (983 words, 2023).",https://www.johndcook.com/blog/2023/02/27/playfair-cipher/
147,on-this-day,"On Feb 28: “Sharing secrets using polynomials” (694 words, 2019).",https://www.johndcook.com/blog/2019/02/28/secret-sharing/
148,on-this-day,"On Mar 01: “Varicode” (739 words, 2022).",https://www.johndcook.com/blog/2022/03/01/varicode/
149,on-this-day,"On Mar 02: “Bits of information in age, birthday, and birthdate” (590 words, 2018).",https://www.johndcook.com/blog/2018/03/02/bits-of-information-in-age-birthday-and-birthdate/
150,on-this-day,"On Mar 03: “John Conway&#8217;s mental factoring method and friends” (980 words, 2023).",https://www.johndcook.com/blog/2023/03/03/conway-factoring/
151,on-this-day,"On Mar 03: “Archiving data on paper” (772 words, 2024).",https://www.johndcook.com/blog/2024/03/03/archiving-data-on-paper/
152,on-this-day,"On Mar 04: “Approximating Earth as a sphere” (786 words, 2012).",https://www.johndcook.com/blog/2012/03/04/approximating-earth-as-a-sphere/
153,on-this-day,"On Mar 06: “Public key encryption based on squares and non squares” (1017 words, 2019).",https://www.johndcook.com/blog/2019/03/06/goldwasser-micali/
154,on-this-day,"On Mar 07: “The difference between tokens and words” (535 words, 2025).",https://www.johndcook.com/blog/2025/03/07/tokens-and-words/
155,on-this-day,"On Mar 07: “MDS codes” (912 words, 2020).",https://www.johndcook.com/blog/2020/03/07/mds-codes/
156,on-this-day,"On Mar 09: “How areas of math are connected” (845 words, 2017).",https://www.johndcook.com/blog/2017/03/09/how-areas-of-math-are-connected/
157,on-this-day,"On Mar 10: “Colossus versus El Capitan: A Tale of Two Supercomputers” (781 words, 2025).",https://www.johndcook.com/blog/2025/03/10/colossus-versus-el-capitan/
158,on-this-day,"On Mar 11: “All elliptic curves over fields of order 2 and 3” (1305 words, 2019).",https://www.johndcook.com/blog/2019/03/11/elliptic-curves-gf2-gf3/
159,on-this-day,"On Mar 12: “The coupon collector problem and π” (526 words, 2023).",https://www.johndcook.com/blog/2023/03/12/coupon-collector/
160,on-this-day,"On Mar 13: “Frequency shift keying (FSK) spectrum” (728 words, 2022).",https://www.johndcook.com/blog/2022/03/13/fsk-spectrum/
161,on-this-day,"On Mar 14: “Computing the nth digit of π directly” (895 words, 2025).",https://www.johndcook.com/blog/2025/03/14/bbp/
162,on-this-day,"On Mar 15: “Typesetting music with LilyPond” (612 words, 2009).",https://www.johndcook.com/blog/2009/03/15/typesetting-music-in-latex-and-lilypond/
163,on-this-day,"On Mar 16: “Emacs” (794 words, 2010).",https://www.johndcook.com/blog/2010/03/16/emacs/
164,on-this-day,"On Mar 17: “Lessons Learned With the Z3 SAT/SMT Solver” (876 words, 2025).",https://www.johndcook.com/blog/2025/03/17/lessons-learned-with-the-z3-sat-smt-solver/
165,on-this-day,"On Mar 18: “Support of a signal and its FFT” (693 words, 2021).",https://www.johndcook.com/blog/2021/03/18/support-of-a-signal-and-its-fft/
166,on-this-day,"On Mar 19: “Interview with Sacha Chua” (1243 words, 2013).",https://www.johndcook.com/blog/2013/03/19/interview-with-sacha-chua/
167,on-this-day,"On Mar 20: “Computing Fourier series coefficients with the FFT” (890 words, 2021).",https://www.johndcook.com/blog/2021/03/20/fourier-series-fft/
168,on-this-day,"On Mar 21: “Simple trig function approximations” (498 words, 2021).",https://www.johndcook.com/blog/2021/03/21/simple-trig-approx/
169,symbol,Posts with “π”: 9.,
170,symbol,Posts with “φ”: 0.,
171,symbol,Posts with “Φ”: 0.,
172,symbol,Posts with “∞”: 0.,
173,milestone,"First post: “Moore&#8217;s law and software bloat” on Jan 09, 2008.",https://www.johndcook.com/blog/2008/01/09/moores-law-and-software-bloat/
174,milestone,"Latest post: “Equal things that don&#8217;t look equal” on Nov 27, 2025.",https://www.johndcook.com/blog/2025/11/27/hyperbolic-metric-formulas/
175,feature,"Heavyweight: “Interview with Sir Michael Atiyah” (1926 words, Sep 24, 2013).",https://www.johndcook.com/blog/2013/09/24/interview-with-sir-michael-atiyah/
176,feature,"Heavyweight: “Applied topology and Dante: an interview with Robert Ghrist” (1814 words, Sep 13, 2010).",https://www.johndcook.com/blog/2010/09/13/applied-topology-and-dante-an-interview-with-robert-ghrist/
177,feature,"Heavyweight: “Hallucinations of AI Science Models” (1710 words, Mar 26, 2024).",https://www.johndcook.com/blog/2024/03/26/hallucinations-of-ai-science-models/
178,feature,"Heavyweight: “Field of order 9” (1695 words, Sep 21, 2022).",https://www.johndcook.com/blog/2022/09/21/field-of-order-9/
179,feature,"Heavyweight: “Writing down an unwritten language” (1601 words, Feb 24, 2014).",https://www.johndcook.com/blog/2014/02/24/creating-a-writing-system/
180,feature,"Heavyweight: “Interview with author Cliff Pickover” (1594 words, Aug 30, 2009).",https://www.johndcook.com/blog/2009/08/30/interview-with-author-cliff-pickover/
181,feature,"Heavyweight: “Anatomy of a posit number” (1575 words, Apr 11, 2018).",https://www.johndcook.com/blog/2018/04/11/anatomy-of-a-posit-number/
182,feature,"Heavyweight: “Solving for Möbius transformation coefficients” (1456 words, Mar 28, 2021).",https://www.johndcook.com/blog/2021/03/28/mobius-coefficients/
183,feature,"Heavyweight: “Two-sample t-test and robustness” (1429 words, May 11, 2018).",https://www.johndcook.com/blog/2018/05/11/two-sample-t-test/
184,feature,"Heavyweight: “Probability that a number is prime” (1390 words, Oct 06, 2010).",https://www.johndcook.com/blog/2010/10/06/probability-a-number-is-prime/
185,feature,"Heavyweight: “Orders of finite simple groups” (1377 words, Sep 02, 2018).",https://www.johndcook.com/blog/2018/09/02/orders-of-finite-simple-groups/
186,feature,"Heavyweight: “A gentle introduction to Hamming codes” (1376 words, Feb 24, 2020).",https://www.johndcook.com/blog/2020/02/24/hamming-codes/
187,feature,"Heavyweight: “Hom functors and a glimpse of Yoneda” (1309 words, Aug 06, 2018).",https://www.johndcook.com/blog/2018/08/06/hom-functors/
188,feature,"Heavyweight: “All elliptic curves over fields of order 2 and 3” (1305 words, Mar 11, 2019).",https://www.johndcook.com/blog/2019/03/11/elliptic-curves-gf2-gf3/
189,feature,"Heavyweight: “Anthony Scopatz on xonsh and shells in general” (1282 words, Nov 15, 2015).",https://www.johndcook.com/blog/2015/11/15/xonsh/
190,feature,"Heavyweight: “Solving Kepler&#8217;s equation with Newton&#8217;s method” (1277 words, Nov 01, 2022).",https://www.johndcook.com/blog/2022/11/01/kepler-newton/
191,feature,"Heavyweight: “Comparing trig functions and Jacobi functions” (1252 words, Oct 13, 2018).",https://www.johndcook.com/blog/2018/10/13/jacobi-trig-functions/
192,feature,"Heavyweight: “Categorical products” (1244 words, Mar 22, 2016).",https://www.johndcook.com/blog/2016/03/22/categorical-products/
193,feature,"Heavyweight: “Functional folds and conjugate models” (1243 words, Jun 01, 2016).",https://www.johndcook.com/blog/2016/06/01/functional-folds-and-conjugate-models/
194,feature,"Heavyweight: “Interview with Sacha Chua” (1243 words, Mar 19, 2013).",https://www.johndcook.com/blog/2013/03/19/interview-with-sacha-chua/
195,feature,"Heavyweight: “Evaluating weather forecast accuracy: an interview with Eric Floehr” (1241 words, Apr 12, 2011).",https://www.johndcook.com/blog/2011/04/12/weather-forecast-accuracy/
196,feature,"Heavyweight: “Finite simple group example: PSL(q)” (1227 words, Sep 08, 2018).",https://www.johndcook.com/blog/2018/09/08/projective-special-linear/
197,feature,"Heavyweight: “Four views of multisets” (1225 words, Oct 26, 2022).",https://www.johndcook.com/blog/2022/10/26/multisets/
198,feature,"Heavyweight: “Trapezoid rule and Romberg integration” (1225 words, Feb 18, 2020).",https://www.johndcook.com/blog/2020/02/18/trapezoid-romberg/
199,feature,"Heavyweight: “When a cubic or quartic has a double root” (1210 words, Nov 16, 2022).",https://www.johndcook.com/blog/2022/11/16/cubic-quartic-double-root/
200,feature,"Heavyweight: “Why do LLMs have emergent properties?” (1207 words, May 08, 2025).",https://www.johndcook.com/blog/2025/05/08/why-do-llms-have-emergent-properties/
201,feature,"Heavyweight: “Prime remainders too evenly distributed” (1206 words, Jun 08, 2016).",https://www.johndcook.com/blog/2016/06/08/prime-remainders-too-evenly-distributed/
202,feature,"Heavyweight: “Trig functions across programming languages” (1203 words, Feb 11, 2021).",https://www.johndcook.com/blog/2021/02/11/trig-across-languages/
203,feature,"Heavyweight: “Maidenhead geocode system” (1190 words, May 30, 2021).",https://www.johndcook.com/blog/2021/05/30/maidenhead-geocode-system/
204,feature,"Heavyweight: “Transpose and Adjoint” (1183 words, Apr 27, 2025).",https://www.johndcook.com/blog/2025/04/27/transpose-vs-adjoint/
205,feature,"Heavyweight: “How many ways to make rock, paper, scissors, lizard, Spock?” (1172 words, Aug 07, 2018).",https://www.johndcook.com/blog/2018/08/07/rock-paper-scissors-lizard-spock/
206,feature,"Heavyweight: “Finite projective planes” (1164 words, Apr 25, 2022).",https://www.johndcook.com/blog/2022/04/25/finite-projective-planes/
207,feature,"Heavyweight: “Kronecker sum” (1150 words, Oct 11, 2020).",https://www.johndcook.com/blog/2020/10/11/kronecker-sum/
208,feature,"Heavyweight: “Riemann hypothesis, the fine structure constant, and the Todd function” (1138 words, Sep 24, 2018).",https://www.johndcook.com/blog/2018/09/24/riemann-hypothesis-the-fine-structure-constant-and-the-todd-function/
209,feature,"Heavyweight: “Data-driven charity” (1132 words, Feb 05, 2017).",https://www.johndcook.com/blog/2017/02/05/data-driven-charity/
210,feature,"Heavyweight: “Why are CUDA kernels hard to optimize?” (1126 words, Aug 27, 2025).",https://www.johndcook.com/blog/2025/08/27/why-are-cuda-kernels-hard-to-optimize/
211,feature,"Heavyweight: “Chi-square goodness of fit test example with primes” (1126 words, Jun 07, 2016).",https://www.johndcook.com/blog/2016/06/07/chi-square-goodness-of-fit-test-example-with-primes/
212,feature,"Heavyweight: “Fibonacci numbers and hyperbolic sine” (1114 words, Feb 03, 2021).",https://www.johndcook.com/blog/2021/02/03/askey-fibonacci/
213,feature,"Heavyweight: “Estimating vocabulary size with Heaps&#8217; law” (1102 words, Aug 27, 2019).",https://www.johndcook.com/blog/2019/08/27/heaps-law/
214,feature,"Heavyweight: “Comparing range and precision of IEEE and posit” (1101 words, Apr 14, 2018).",https://www.johndcook.com/blog/2018/04/14/ieee-vs-posit/
215,feature,"Heavyweight: “Interview with Michael Hammel, author of The Artist&#8217;s Guide to GIMP” (1100 words, Jul 30, 2012).",https://www.johndcook.com/blog/2012/07/30/interview-michael-hammel/
216,feature,"Heavyweight: “Interview with Chris Toomey of Upcase” (1095 words, Jun 10, 2016).",https://www.johndcook.com/blog/2016/06/10/chris-toomey/
217,feature,"Heavyweight: “Pareto&#8217;s 80-20 rule” (1094 words, Aug 27, 2018).",https://www.johndcook.com/blog/2018/08/27/pareto-80-20-rule/
218,feature,"Heavyweight: “Equation of an ellipse or hyperbola through five points” (1092 words, Jun 19, 2023).",https://www.johndcook.com/blog/2023/06/19/conic-through-five-points/
219,feature,"Heavyweight: “Why is an empty sum 0 and an empty product 1?” (1091 words, Apr 14, 2015).",https://www.johndcook.com/blog/2015/04/14/empty-sum-product/
220,feature,"Heavyweight: “Vibrating circular membranes” (1088 words, Jun 12, 2021).",https://www.johndcook.com/blog/2021/06/12/vibrating-circular-membranes/
221,feature,"Heavyweight: “ADFGVX cipher and Morse code separation” (1087 words, Feb 22, 2020).",https://www.johndcook.com/blog/2020/02/22/adfgvx/
222,feature,"Heavyweight: “Effective Computation in Physics” (1076 words, Aug 08, 2015).",https://www.johndcook.com/blog/2015/08/08/effective-computation-in-physics/
223,feature,"Heavyweight: “Exact sequences” (1073 words, Dec 04, 2021).",https://www.johndcook.com/blog/2021/12/04/exact-sequences/
224,feature,"Heavyweight: “Stiff differential equations” (1066 words, Feb 02, 2020).",https://www.johndcook.com/blog/2020/02/02/stiff-differential-equations/
225,feature,"Heavyweight: “Mathematics of medical plastics” (1066 words, Feb 03, 2016).",https://www.johndcook.com/blog/2016/02/03/mathematics-of-medical-plastics/
226,feature,"Heavyweight: “Addition on Curve1174” (1054 words, Feb 19, 2019).",https://www.johndcook.com/blog/2019/02/19/addition-on-curve1174/
