Top pages,Clicks,Impressions,CTR
https://www.johndcook.com/blog/2025/05/11/eight-queens-symmetry/,9,377,2.39%
https://www.johndcook.com/blog/2025/01/22/duplicating-hankel-plot-from-as/,7,755,0.93%
https://www.johndcook.com/blog/2025/05/13/alternative-exp-and-log-notation/,5,528,0.95%
https://www.johndcook.com/blog/2025/05/13/a-crowded-little-chess-puzzle/,4,71,5.63%
https://www.johndcook.com/blog/2024/11/10/the-postage-stamp-problem/,4,62,6.45%
https://www.johndcook.com/blog/2025/05/08/why-do-llms-have-emergent-properties/,4,29,13.79%
https://www.johndcook.com/blog/2024/10/19/channel-capacity-of-a-telegraph/,3,608,0.49%
https://www.johndcook.com/blog/2025/05/09/sorting-roman-numerals/,3,214,1.4%
https://www.johndcook.com/blog/2025/05/28/dragonfly/,3,120,2.5%
https://www.johndcook.com/blog/2025/03/27/superhyperbola/,3,52,5.77%
https://www.johndcook.com/blog/2025/02/20/mnemonic-images-grok-3/,2,395,0.51%
https://www.johndcook.com/blog/2024/12/09/erdos-pentagon/,2,380,0.53%
https://www.johndcook.com/blog/2025/06/01/parabola-ellipse/,2,86,2.33%
https://www.johndcook.com/blog/2025/09/17/morse-code-beyond-the-solar-system/,2,80,2.5%
https://www.johndcook.com/blog/2024/11/14/ramanujans-master-theorem/,2,36,5.56%
https://www.johndcook.com/blog/2025/05/10/non-attacking-bishops/,2,31,6.45%
https://www.johndcook.com/blog/2025/05/31/pascals-ellipse/,2,31,6.45%
https://www.johndcook.com/blog/2025/04/16/triangulate-polygon/,1,67,1.49%
https://www.johndcook.com/blog/2025/05/14/another-little-chess-puzzle/,1,66,1.52%
https://www.johndcook.com/blog/2024/12/19/interval-arithmetic/,1,36,2.78%
https://www.johndcook.com/blog/2025/05/02/n-queens-in-3d/,1,25,4%
https://www.johndcook.com/blog/2025/02/22/golden-convergence/,0,95,0%
https://www.johndcook.com/blog/2024/12/03/bi-elliptic-transfer/,0,84,0%
https://www.johndcook.com/blog/2025/11/05/japanese-polygon-theorem/,0,79,0%
https://www.johndcook.com/blog/2025/06/01/gardeners-ellipse/,0,42,0%
https://www.johndcook.com/blog/2025/03/08/chatgpt-tokens-and-unicode/,0,39,0%
https://www.johndcook.com/blog/2025/05/16/trinomial-coefficients-and-kings/,0,36,0%
https://www.johndcook.com/blog/2025/04/06/satellite-altitude/,0,21,0%
https://www.johndcook.com/blog/2025/01/07/can-ai-models-reason-like-a-human/,0,20,0%
https://www.johndcook.com/blog/2025/02/03/deepseek-r1-do-we-need-less-compute-now/,0,16,0%
https://www.johndcook.com/blog/2024/12/02/rotating-macbook-keys/,0,11,0%
https://www.johndcook.com/blog/2025/09/17/learning-languages-with-the-help-of-algorithms/,0,11,0%
